Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
60            121.52            8.6              0              1         154.22          32.69         161.88          40.36
61             123.5           4.84              0              0         157.77          34.27         171.69          48.19
69            133.26           3.99              0              0         171.69          38.43         176.19          42.93
63            126.47          15.16              0              1         161.88           35.4         176.59          50.11
71            137.97           4.75              0              1         176.59          38.61         180.98          43.01
70             134.3            1.8              0              0         176.19          41.89         185.19          50.89
74            148.12           5.65              0              0         185.19          37.06         185.44          37.31
75             148.9           1.39              0              0         185.44          36.53         193.55          44.65
76            151.22           4.12              0              0         193.55          42.34         198.11          46.89
80            155.25           3.41              0              0         198.11          42.86          202.2          46.95
73            145.57          19.51              0              1         180.98          35.41         207.28          61.72
86            164.81           9.36              0              1         207.28          42.48         214.07          49.26
84            159.51           5.52              0              0          202.2          42.69         215.38          55.87
91            186.21           6.16              0              0         215.38          29.18         221.77          35.57
90            172.12           6.56              0              1         214.07          41.95         223.78          51.65
92            187.92           1.64              0              0         221.77          33.85         225.24          37.32
93            191.11          10.94              0              1         223.78          32.67         225.65          34.54
94            193.54           0.55              0              0         225.24          31.71         226.93          33.39
96            196.59           2.08              0              0         226.93          30.33         229.26          32.67
95            196.21            3.9              0              1         225.65          29.44         231.09          34.87
97            199.34           3.34              0              0         229.26          29.93            235          35.66
100            205.1           5.15              0              1         231.09          25.98         236.64          31.54
106           215.23           0.53              0              1         236.64          21.41         238.31          23.08
104           210.45           1.58              0              0            235          24.56         238.91          28.46
112           222.07           2.14              0              0         238.91          16.84         239.44          17.37
114           224.56           25.2              0              0         239.44          14.88         240.39          15.83
115           226.05          15.96              0              0         240.39          14.34         245.87          19.82
116           228.79           1.89              0              0         245.87          17.08          248.9          20.11
107           217.24           6.31              0              1         238.31          21.07          257.6          40.36
117           231.54          31.72              0              0          248.9          17.36         263.68          32.14
118            236.3          35.88              0              1          257.6           21.3         264.87          28.57
